code,parent_code,name,Latitude,Longitude
3317,33,KABUPATEN REMBANG,-6.833329999999933,111.66667000000007
3318,33,KABUPATEN PATI,-6.732099999999946,111.07100000000008
3319,33,KABUPATEN KUDUS,-6.809999999999945,110.87250000000006
3320,33,KABUPATEN JEPARA,-6.499999999999943,110.83333000000005
3321,33,KABUPATEN DEMAK,-6.916499999999928,110.63030000000003
3322,33,KABUPATEN SEMARANG,-7.206669999999974,110.44139000000007
3323,33,KABUPATEN TEMANGGUNG,-7.296109999999942,110.15833000000003
3324,33,KABUPATEN KENDAL,-7.02559999999994,110.16850000000005
3325,33,KABUPATEN BATANG,-6.999999999999943,109.91667000000007
3326,33,KABUPATEN PEKALONGAN,-7.0318999999999505,109.62400000000008
3327,33,KABUPATEN PEMALANG,-7.048199999999952,109.38190000000009
3328,33,KABUPATEN TEGAL,-7.015599999999949,109.15840000000009
3329,33,KABUPATEN BREBES,-7.046299999999974,108.90090000000004
3371,33,KOTA MAGELANG,-7.470559999999978,110.21778000000006
3372,33,KOTA SURAKARTA,-7.556109999999933,110.83167000000009
3373,33,KOTA SALATIGA,-7.303309999999954,110.48616000000004
3374,33,KOTA SEMARANG,-6.993199999999945,110.42030000000005
3375,33,KOTA PEKALONGAN,-6.88859999999994,109.67530000000005
3376,33,KOTA TEGAL,-6.869399999999928,109.14020000000005
3401,34,KABUPATEN KULON PROGO,-7.664719999999932,110.25472000000008
3402,34,KABUPATEN BANTUL,-7.834439999999972,110.51667000000003
3403,34,KABUPATEN GUNUNG KIDUL,-7.836109999999962,110.59278000000006
3404,34,KABUPATEN SLEMAN,-7.68166999999994,110.32333000000006
3471,34,KOTA YOGYAKARTA,-7.782779999999946,110.36083000000008
3501,35,KABUPATEN PACITAN,-8.09221999999994,111.18139000000008
3502,35,KABUPATEN PONOROGO,-7.898299999999949,111.52910000000008
3503,35,KABUPATEN TRENGGALEK,-8.183199999999943,111.63680000000005
3504,35,KABUPATEN TULUNGAGUNG,-8.179299999999955,111.89430000000004
3505,35,KABUPATEN BLITAR,-8.083329999999933,112.41667000000007
3506,35,KABUPATEN KEDIRI,-7.833329999999933,112.25000000000011
3507,35,KABUPATEN MALANG,-7.97969999999998,112.63040000000001
3508,35,KABUPATEN LUMAJANG,-8.13349999999997,113.22480000000007
3509,35,KABUPATEN JEMBER,-8.30929999999995,113.7025000000001
3510,35,KABUPATEN BANYUWANGI,-8.329799999999977,114.22080000000005
3511,35,KABUPATEN BONDOWOSO,-7.940399999999954,113.98340000000007
3512,35,KABUPATEN SITUBONDO,-7.795799999999929,114.21500000000003
3513,35,KABUPATEN PROBOLINGGO,-7.854799999999955,113.33820000000003
3514,35,KABUPATEN PASURUAN,-7.730799999999931,112.84320000000002
3515,35,KABUPATEN SIDOARJO,-7.445409999999981,112.71810000000005
3516,35,KABUPATEN MOJOKERTO,-7.558499999999981,112.51740000000007
3517,35,KABUPATEN JOMBANG,-7.530199999999979,112.25410000000011
3518,35,KABUPATEN NGANJUK,-7.608299999999929,111.94400000000007
3519,35,KABUPATEN MADIUN,-7.623899999999935,111.65180000000004
3520,35,KABUPATEN MAGETAN,-7.64471999999995,111.35917000000006
3521,35,KABUPATEN NGAWI,-7.474439999999959,111.33444000000009
3522,35,KABUPATEN BOJONEGORO,-7.253599999999949,111.77220000000005
3523,35,KABUPATEN TUBAN,-6.947099999999978,111.89760000000007
3524,35,KABUPATEN LAMONGAN,-6.899699999999939,112.27640000000008
3525,35,KABUPATEN GRESIK,-7.193299999999965,112.55300000000011
3526,35,KABUPATEN BANGKALAN,-7.061499999999967,112.95720000000006
3527,35,KABUPATEN SAMPANG,-7.08159999999998,113.26280000000008
3528,35,KABUPATEN PAMEKASAN,-6.999999999999943,113.50000000000011
3529,35,KABUPATEN SUMENEP,-6.999999999999943,114.00000000000011
3571,35,KOTA KEDIRI,-7.849369999999965,112.03005000000007
3572,35,KOTA BLITAR,-8.098299999999938,112.1681000000001
3573,35,KOTA MALANG,-7.97969999999998,112.63040000000001
3574,35,KOTA PROBOLINGGO,-7.754299999999944,113.21590000000003
3575,35,KOTA PASURUAN,-7.645299999999963,112.90750000000003
3576,35,KOTA MOJOKERTO,-7.466399999999965,112.43380000000002
3577,35,KOTA MADIUN,-7.629799999999932,111.52390000000008
3578,35,KOTA SURABAYA,-7.2491699999999355,112.75083000000006
3579,35,KOTA BATU,2.463700000000074,98.06060000000008
3601,36,KABUPATEN PANDEGLANG,-6.666669999999954,105.66667000000007
3602,36,KABUPATEN LEBAK,-6.666669999999954,106.25000000000006
3603,36,KABUPATEN TANGERANG,-6.249999999999943,106.58333000000005
3604,36,KABUPATEN SERANG,-6.114899999999977,106.15020000000004
3671,36,KOTA TANGERANG,-6.1780599999999595,106.63000000000005
3672,36,KOTA CILEGON,-6.025939999999935,106.04680000000008
3673,36,KOTA SERANG,-6.1194399999999405,106.16355000000004
3674,36,KOTA TANGERANG SELATAN,-6.295309999999972,106.71078000000006
5101,51,KABUPATEN JEMBRANA,-8.321299999999951,114.69420000000002
5102,51,KABUPATEN TABANAN,-8.499999999999943,115.16667000000007
5103,51,KABUPATEN BADUNG,-8.526099999999929,115.2074
5104,51,KABUPATEN GIANYAR,-8.478299999999933,115.28620000000001
5105,51,KABUPATEN KLUNGKUNG,-8.499999999999943,115.58333000000005
5106,51,KABUPATEN BANGLI,-8.249999999999943,115.50000000000011
